expert_slug,video_id,title,url,transcript_collected,segments,type
arvid-kahl,2YsCcJg3QkE,Marketing for Founders Who Hate Marketing,https://www.youtube.com/watch?v=2YsCcJg3QkE,yes,518,YouTube video
arvid-kahl,5xt6S5mes-I,Vibe Coding Wont Kill SaaS,https://www.youtube.com/watch?v=5xt6S5mes-I,yes,516,YouTube video
arvid-kahl,EHJQy6vY30A,AI is a Threat to SaaS Multiples,https://www.youtube.com/watch?v=EHJQy6vY30A,yes,637,YouTube video
arvid-kahl,X96ufYBx-r4,Making Your Business Sellable Even If You Never Plan To,https://www.youtube.com/watch?v=X96ufYBx-r4,yes,644,YouTube video
dan-martell,44CfRbavZYQ,How to start a SaaS business,https://www.youtube.com/watch?v=44CfRbavZYQ,yes,80,YouTube video
dan-martell,5F_lUwNYdAI,How Dan Martell Scaled 100M SaaS Companies,https://www.youtube.com/watch?v=5F_lUwNYdAI,yes,38,YouTube video
dan-martell,sBZmzlJu8oM,Dan Martell Reveals the SECRET To Running A SaaS Company,https://www.youtube.com/watch?v=sBZmzlJu8oM,yes,1172,YouTube video
jason-lemkin,4CjJnhmPy3o,The 2025 SaaS Vibe Check - What Founders Need to Know Right Now,https://www.youtube.com/watch?v=4CjJnhmPy3o,yes,957,YouTube video
jason-lemkin,CvS3tJFmunY,2025 State of SaaS - Trends and Predictions,https://www.youtube.com/watch?v=CvS3tJFmunY,yes,841,YouTube video
jason-lemkin,f0L_l4pc4rU,What Really Matters in SaaS in 2025,https://www.youtube.com/watch?v=f0L_l4pc4rU,yes,1434,YouTube video
jason-lemkin,iAI-htMWvBw,The Best SaaS Marketing Strategy for 2026,https://www.youtube.com/watch?v=iAI-htMWvBw,yes,408,YouTube video
joran-hofman,-Yq_YOHUuKY,How to grow your B2B SaaS to 10M ARR - Season 4,https://www.youtube.com/watch?v=-Yq_YOHUuKY,yes,710,YouTube video
joran-hofman,EXAdYGVRaC8,How to grow your B2B SaaS to 10M ARR - Advice from 20 experts,https://www.youtube.com/watch?v=EXAdYGVRaC8,yes,1140,YouTube video
joran-hofman,XQZl9nOOjDc,How to grow your B2B SaaS to 10K MRR - Advice from 20 experts,https://www.youtube.com/watch?v=XQZl9nOOjDc,yes,820,YouTube video
joran-hofman,wi7gtMUSqto,Affiliate Marketing for B2B SaaS companies,https://www.youtube.com/watch?v=wi7gtMUSqto,yes,665,YouTube video
josef-newton-sway-one,NFAg8OM4C84,Leveraging In-House On Camera Content for B2B Companies,https://www.youtube.com/watch?v=NFAg8OM4C84,yes,999,YouTube video
marlon-doll,EotgIYmE2oY,This System Turns YouTube Into A 24-7 Sales Machine,https://www.youtube.com/watch?v=EotgIYmE2oY,yes,552,YouTube video
marlon-doll,F_h6a8fGTLY,How to Get Your YouTube Videos Recommended by AI,https://www.youtube.com/watch?v=F_h6a8fGTLY,yes,442,YouTube video
marlon-doll,OBK5DZJZnjs,Your SaaS Channel Needs This YouTube Strategy,https://www.youtube.com/watch?v=OBK5DZJZnjs,yes,300,YouTube video
marlon-doll,Qhg09bbhN5w,CEO Ranks Every YouTube Growth Strategy for Educational Channels,https://www.youtube.com/watch?v=Qhg09bbhN5w,yes,722,YouTube video
marlon-doll,gAjmXdjppLk,Fixing a Major Brands YT Channel On The Spot - Square Audit,https://www.youtube.com/watch?v=gAjmXdjppLk,yes,380,YouTube video
nathan-latka,6E79GMfbEBo,He Built a BORING SaaS That Makes Him 9M yr,https://www.youtube.com/watch?v=6E79GMfbEBo,yes,866,YouTube video
nathan-latka,ApZVuqfX7BQ,How He Built a 14M Yr SaaS in a Boring Niche,https://www.youtube.com/watch?v=ApZVuqfX7BQ,yes,680,YouTube video
nathan-latka,U2RAjHVdHZM,4M yr SaaS Founder - How To Add 100000 in ARR Every Month,https://www.youtube.com/watch?v=U2RAjHVdHZM,yes,555,YouTube video
rob-walling,GNR61V6ihxE,Ill Help You Build a Million Dollar SaaS Business,https://www.youtube.com/watch?v=GNR61V6ihxE,yes,60,YouTube video
rob-walling,S-qDGDqkSHI,9 Startup Predictions for 2025,https://www.youtube.com/watch?v=S-qDGDqkSHI,yes,583,YouTube video
rob-walling,mGu-2suChAg,The Future of SaaS - 2025 Trends You NEED to Know,https://www.youtube.com/watch?v=mGu-2suChAg,yes,198,YouTube video
rob-walling,mYMeLw3HinQ,SaaS Predictions for 2026 - Reflections on 2025,https://www.youtube.com/watch?v=mYMeLw3HinQ,yes,717,YouTube video
tk-kader,HQZMyxBvz_0,Best SaaS Marketing Playbook to Hit 10M ARR in 2026,https://www.youtube.com/watch?v=HQZMyxBvz_0,yes,476,YouTube video
tk-kader,RO2ifYXL5d0,Best SaaS Marketing Strategies For 2026,https://www.youtube.com/watch?v=RO2ifYXL5d0,yes,1467,YouTube video
tk-kader,SVA1BWly8eo,B2B Marketing Strategy - How To Get More Leads With Ideal Customer,https://www.youtube.com/watch?v=SVA1BWly8eo,yes,440,YouTube video
tk-kader,YxAd96vLzCc,If I Started in 2026 Heres My B2B SaaS Content Strategy,https://www.youtube.com/watch?v=YxAd96vLzCc,yes,653,YouTube video
tk-kader,fge6vPNz2Kc,Content Marketing for B2B That Works,https://www.youtube.com/watch?v=fge6vPNz2Kc,yes,934,YouTube video
vasco-aires,CIhXoNV-dPY,my SaaS made 1.7K in 1 day - marketing strategy revealed,https://www.youtube.com/watch?v=CIhXoNV-dPY,yes,629,YouTube video
vasco-aires,O59vIfG1cTs,This will 3X my SaaS Revenue - strategy revealed,https://www.youtube.com/watch?v=O59vIfG1cTs,yes,294,YouTube video
vasco-aires,hgonN8ZywPk,How my SaaS made 62400 in 20 Days,https://www.youtube.com/watch?v=hgonN8ZywPk,yes,256,YouTube video
vasco-aires,wPLME69m8Zs,Copy My 1000000 SaaS Strategy or stay broke,https://www.youtube.com/watch?v=wPLME69m8Zs,yes,449,YouTube video
josef-newton-sway-one,,Building a YouTube Strategy for B2B SaaS,https://podcasts.apple.com/jp/podcast/s2-e21-building-a-youtube-strategy-for-b2b-saas/id1657220586?i=1000673290149,no,,Podcast
josef-newton-sway-one,,How to build a B2B SaaS video strategy,https://www.linkedin.com/posts/josef-newton_how-to-build-a-b2b-saas-video-strategy-activity-7270105216518111234-qxMH,no,,LinkedIn post
josef-newton-sway-one,,8 Expert Insights About Mastering YouTube As a B2B SaaS Company,https://www.swayone.io/8-expert-insights-about-mastering-youtube-as-a-b2b-saas-company,no,,Article
